Driver Number,Category,Agency,Division,Date,Registration,StartOfDuty,End Of Duty,Drive,Other,POA,Rest
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,01/06/2019,Rest,01/06/2019 00:00,01/06/2019 09:00,,,,
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,02/06/2019,Rest,02/06/2019 00:00,02/06/2019 09:00,,,,
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,03/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual",03/06/2019 17:00,04/06/2019 04:00,,09:00,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,04/06/2019,"Manual,YK05 CCE,Manual,Manual,Manual,Manual,Manual,Manual",04/06/2019 17:00,05/06/2019 04:00,00:12,08:48,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,05/06/2019,"Manual,Manual,Manual,BF63 ZSD,Manual,Manual,Manual,Manual",05/06/2019 17:00,06/06/2019 04:00,00:13,08:47,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,06/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual",06/06/2019 18:00,07/06/2019 05:00,,09:00,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,07/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual,YN65 XDK",07/06/2019 18:00,08/06/2019 05:04,,09:09,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,11/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual",11/06/2019 17:00,12/06/2019 03:00,,09:00,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,12/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual",12/06/2019 17:00,13/06/2019 03:00,,09:00,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,13/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual",13/06/2019 17:00,14/06/2019 03:00,,09:00,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,14/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual",14/06/2019 18:00,15/06/2019 04:00,,09:00,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,15/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual,YR17 RJZ",15/06/2019 18:00,16/06/2019 04:14,,09:14,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,17/06/2019,Rest,17/06/2019 00:00,17/06/2019 08:00,,,,
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,18/06/2019,Rest,18/06/2019 00:00,18/06/2019 08:00,,,,
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,19/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual",19/06/2019 17:00,20/06/2019 03:00,,09:00,,01:00
ALANN,"04, Shunting Staff",Paid By Tachograph,H Luckett & Co Ltd,20/06/2019,"Manual,Manual,Manual,Manual,Manual,Manual",20/06/2019 17:00,21/06/2019 03:00,,09:00,,01:00
